School_Name,Address,Phone,Image_url
Adarsh School," 8, Kunjpura Rd, LIC Colony, Vasant Vihar, Karnal, Haryana 132001", 0184 226 5620,https://lh5.googleusercontent.com/p/AF1QipOZfj4Rrpm20SMWjEOVYA23plS8SnXAK9FgMlLp=w260-h175-n-k-no
International Delhi Public School- Best Pre School In karnal," Green Belt, International Delhi Public school, Gali Number 1, Shubh garden, Sector 7, Karnal, Haryana 132001", 070150 74326,
OPS International School," P28F+PQV, Kunjpura Rd, near O.P.S. International School, Karnal, Haryana 132001", 098969 36009,https://lh5.googleusercontent.com/p/AF1QipNkgh-xyz828WAiLLhpKVBwUt5BWuavocidqlQ=w260-h175-n-k-no
SPS Convent School," MXJC+WFX, Shivaji Colony, Hansi Road, Karnal, Haryana 132001", 0184 224 0714,https://lh5.googleusercontent.com/p/AF1QipOR_-VqAOki9Aw6W0jJpHUbFX92pFfBVhwy3Oho=w260-h175-n-k-no
Nirmal Public School Karnal," Opp iti, Kunjpura Rd, Karnal, Haryana 132001", 080534 55321,https://lh5.googleusercontent.com/p/AF1QipMfcYbbAZ9jjqBosW-PmhEQDaEnj3e3Z82f4nb-=w260-h175-n-k-no
Dyal Singh Public School Sector-7," M2R5+PPV, Sector 7, Karnal, Haryana 132001", 0184 228 0549,https://lh5.googleusercontent.com/p/AF1QipMIdybWstQdm7rT0Y716uoge0TZrVMDjrVUVRU=w260-h175-n-k-no
Guru Teg Bahadur Public School," PX2W+4VX, Saini Colony, Model Town, Karnal, Haryana 132001", 0184 226 5132,https://lh5.googleusercontent.com/p/AF1QipOMrDSZGpa0L3NGJkxEaOlWdMgAxCT5fvY0CHs3=w260-h175-n-k-no
"Shri Ram Global School, Karnal"," Kunjpura Rd, near Airport, Karnal, Haryana 132001", 092158 44024,https://lh5.googleusercontent.com/p/AF1QipN9qGQsoYwL_JmFeZ7w79XJW8hXMZpB4_dpNmav=w260-h175-n-k-no
SD Adarsh Public School," MXQQ+QRX, Dyal Singh Colony, Karnal, Haryana 132001", 0184 225 1165,https://lh5.googleusercontent.com/p/AF1QipPE-i2KN8Tb85-knM_4Drk5SR7NFDwH5Z1-A6K0=w260-h175-n-k-no
OPS Vidya Mandir," M2Q3+2FR, Urban Estate, Sector 13, Karnal, Haryana 132001", 0184 225 1165,https://lh5.googleusercontent.com/p/AF1QipO84Uxoo2qyuyTzHRUm3Lxh6lYNa0LY6HVm8z0T=w260-h175-n-k-no
ST Kabir Public School," Sector 8, Karnal, Haryana 132001", 098960 60843,https://lh5.googleusercontent.com/p/AF1QipNZtObciLuyG9W9g-AC0ZRyWzxdKzJsixZFYKHm=w260-h175-n-k-no
RPS International School," near Liberty Chowk, Sector 29, Alpha International City, Karnal, Haryana 132001", 083980 00306,https://lh5.googleusercontent.com/p/AF1QipMRa6j_zpJTidunNqPiM5VNkRZUO8ZeRuCi1V_O=w260-h175-n-k-no
Golden Public School," Vikash Nagar, Karnal, Haryana 132001", 094162 18786,https://lh5.googleusercontent.com/p/AF1QipNKJGiYU5sqbn91WPhUc7NShfszpcfpycnX-kZ8=w260-h175-n-k-no
Doon Public School," Plot No 1, Karnal - Kachhwa Rd, Ram Nagar, Karnal, Haryana 132001", 093541 21470,https://lh5.googleusercontent.com/p/AF1QipOl80ReITPr16n0HBppRTqWtUuh6MXwDSyduLCx=w260-h175-n-k-no
SBS Senior Secondary School," 6-a, Railway Rd, Bank colony, Karam Singh Colony, Karnal, Haryana 132001", 0184 224 1548,https://lh5.googleusercontent.com/p/AF1QipM-Z9HnSiQONauSrcyKYHljSNmYB29F48UQkz58=w260-h175-n-k-no
Brahmanand Public School," Sector 8, Urban Estate, Karnal, Haryana, Karnal, Haryana 132001", 0184 224 1548,
Himalaya Public School," himalya school wali gali, Haryana 132001", 0184 224 1548,https://lh5.googleusercontent.com/p/AF1QipM-Z9HnSiQONauSrcyKYHljSNmYB29F48UQkz58=w260-h175-n-k-no
S B Mission School," MXHV+79W, Jatan Mohalla, Karnal, Haryana 132001", 0184 224 1548,https://lh5.googleusercontent.com/p/AF1QipMk32NUEI5ENqxTQhXBrp61E13fx-ZLSmS-7EjV=w173-h175-n-k-no
Sant Nikka Singh Public School," Dayal Singh Public School, Sant Nikka, Model Town, Karnal, Haryana 132001", 0184 226 6904,https://lh5.googleusercontent.com/p/AF1QipNGtVraW99-MECInQ0ZkAqCnPViivOTlcFdQFuc=w173-h175-n-k-no
Nishan Public School," Danialpur Road, Karnal, Haryana 132001", 089501 14929,https://lh5.googleusercontent.com/p/AF1QipP34wZ5BB_5RNcVX9hOGDXDR7qY26U-UDHB-xgr=w260-h175-n-k-no
